"distr_id","amount","epoch_no","active_until","drep_id","raw","view","has_script"
"6041","7137907241",522,531,"3451","binary data","drep1gr279su076zaujfnk0p7rlsky6yfkeupda9tus3hau4vyu3psxs",False
"6042","1813643",522,534,"10511","binary data","drep1gr4upcx238vns9gmlvc22sr6c2kse35hxww5n2pw86gcw6a39dg",False
"6043","324655675154",522,538,"5005","binary data","drep1gfk449awu92rxuc4vr74qfch3a5n6gnpcfxhc5sj87tykgqjtft",False
"6044","41666628049",522,535,"346","binary data","drep1g2qjfxcxj6ewx3aw0nqh2lfcaq0at3a2wcusxgjmgrnuzph6ddt",False
"6045","508759011249",522,539,"15696","binary data","drep1g2q57dx43zf7wd3wdnur6t7q632k5t29nrl84cd7d2tp53qzfyz",False
"6046","16699793",522,541,"18717","binary data","drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc",False
"6047","5601802362836",522,535,"50","binary data","drep1g0g4ntlgxfnanvtqaa405y3ruszqyfhx46snptktzwg8xvtce0u",False
"6048","8103125349",522,528,"54","binary data","drep1g059t6tuptuldzddum53lm363e3xj237w4kqvxpqjzqa50r4z5k",False
"6049","4458741991",522,537,"563","binary data","drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5",False
"6050","537566616",522,528,"157","binary data","drep1g4r8sq8554m2euwakh6wq6g76dzpatrullgcmwp2tcphv8y0xwd",False
"6051","2797732706109",522,529,"2096","binary data","drep1ghq6tzqa3wn24pmnmspz7l8u7jauxatmqvquekt95v7tzupktt7",False
"6052","100000439893",522,527,"2059","binary data","drep1gc3k97dkt6x6hd97u8a7kggrscnr5hdrsv24mws208myx5l5dhe",False
"6053","132864999707",522,537,"221","binary data","drep1g7eq6d2mkphtc5tk5fa24j7lzt0r7kytr0g3ccdjqhp6xw2y44n",False
"6054","53294907585",522,539,"6535","binary data","drep1fqlck96af0g28ngf4a0jj4lgn9paddhcpvzsssudwfesqp4plvv",False
"6055","465511183160",522,530,"6985","binary data","drep1fp42csx4609rjnua2serlxp6u9hwva8k2kfzcn4c38n9jmtdju6",False
"6056","19298244176",522,536,"12389","binary data","drep1fxclrspcrq2gtphzd2eyz6lwvd69gwtymyy2gmtc9jtxzm7kzym",False
"6057","289418708549",522,527,"882","binary data","drep1fj40ksfux7pmf8rzqnlajrjqnf888t323vv7yur3p7z0w4pwtrk",False
"6058","213117562876",522,540,"32","binary data","drep1fcwj52pvrep5luusk0068v3pha84h5758w0tx8hgjr7q7k9e55q",False
"6059","101482616225",522,534,"10527","binary data","drep1fec56m63r8upm9z6jauttx4zux2f05d7glyg4dcypmdf5w9hzjd",False
"6060","1900522748",522,534,"10500","binary data","drep1fak2f7re5w6uuz0fl9u33ag4z9ac20rgakmckddyxgjjyq059qe",False
"6061","61956747812",522,533,"9825","binary data","drep1fa72lmatejclugnwzmkl0pujm4e0jjd33l6k2k65gn85vfddk6m",False
"6062","124203967811",522,527,"1344","binary data","drep1f7ng3m7gq6eaw6fufmva66uppvhs8ltzm9nsw85jxpa07z69rzy",False
"6063","14761701217",522,536,"12529","binary data","drep1fltfm3r8s4qecxkh3mu4xlusl5t4f0xh8v988ul0d6ducs5t06c",False
"6064","5073308663",522,528,"2852","binary data","drep12z5r3ezr0gdta8ukyu7l347ekh75wfsys8swgz2g50y65tkayfp",False
"6065","195630241862",522,528,"2714","binary data","drep12yvqp9xce03lgxyhp3a0c6ztpx06w6duncpd8dle4xs7ynxftl9",False
"6066","637189155579",522,528,"103","binary data","drep12xhxd3y3wanzfwfzwstat8zd77r52mx2vxqz6m07klnyvyhf7fl",False
"6067","1723732572389",522,536,"1406","binary data","drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw",False
"6068","676497697314",522,528,"120","binary data","drep122rgx3yhs7awjuxfe8kza5fz9qhyag7pdmfan55kh9gnc8394zp",False
"6069","9503582169",522,530,"6465","binary data","drep12d5ahxfwwezh6xf38gfgkkus2kr9ljxg65flmkaa8gkq72vkypc",False
"6070","3434152206842",522,528,"3554","binary data","drep12wy5ruujw0tef4uxhqd23gae8dqfn0sqh4mxmsxnqpz578tn3m0",False
"6071","4577692421",522,530,"6902","binary data","drep12w0jfwz4edxknkss8sjsf6fgswz5jkr28m2cfe4mdaztqzk0ymd",False
"6072","39269628158",522,538,"8939","binary data","drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f",False
"6073","39389982090",522,539,"15921","binary data","drep12wcgyu5kkdsw3ppjwcd82t6x48e05dszyz054l6cz2hf66qxjt7",False
"6074","688281859521",522,541,"2022","binary data","drep120kypfarsk0z5534fu8mtm6sl7gyqc3cz6udcfm4a3ty759ld55",False
"6075","24417411809524",522,538,"1570","binary data","drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l",False
"6076","8948447318686",522,538,"6","binary data","drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9",False
"6077","183996650",522,541,"18754","binary data","drep124y585l728ryltw9tyee46dlc3wcyyeasf0pevypaylgcut7quh",False
"6078","616388719",522,540,"17426","binary data","drep124hypkp8vazlxywzughq2y04umz649rshfkhwyzyc093ytv47ct",False
"6079","1349776042297",522,531,"7623","binary data","drep12kauzsflpm95g4m3hsr47j8cenx7t6jd05tpsaaw0ayzqg72r55",False
"6080","17875076",522,539,"273","binary data","drep12ezrfwhqtrva6gvs7lu5ks6z55hfla4g675zzps8fw3jwamdxtr",False
