distr_id,amount,epoch_no,active_until,drep_id,raw,view,has_script,unique_delegators
170,1177832955,508,527.0,1918,binary data,drep142r4c9z475gle4zytyd2203mhpxke9vlu9mctmyrm84k58vr3du,False,0
171,393606142971,508,527.0,1003,binary data,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,False,11
172,167168063,508,528.0,17,binary data,drep14nys84knugup94a6endwz65crtqpsm7ce4mfgr22gjcm5azklxw,False,0
173,1424079326,508,528.0,269,binary data,drep144wfkax4lcn9rwfp66z9l60a5ra58nlfwdvl8spenddr5t3m03n,False,0
174,598240589631,508,527.0,1826,binary data,drep1464zsa2x2qpj7dht8jgegq7zq9v2kpgjsql5n3n40dyrynhwzly,False,0
175,1421362231,508,527.0,712,binary data,drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,False,0
176,7811307139506,508,528.0,11,binary data,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,False,44
177,41569233189,508,528.0,130,binary data,drep1kycm43zxnjur3vku2eh4u5fv7uam57620qwnz58yusr8y022xl8,False,0
178,13699666706,508,527.0,2211,binary data,drep1k3wde55ta4tzgjwzs3atre39nv0wlpz35manpgjfca7xwu7rnw2,False,9
179,1104165767175,508,527.0,977,binary data,drep1knfjmx50fh4vsyznaefn4xl49pg9wdy2a463sr457mj5u92jrel,False,0
180,493286064266,508,527.0,438,binary data,drep1k5zdh24kmcdfnnl50yng9t7n33kq4mfzdetrh3ps2vx07famecw,False,5
181,225302702757,508,528.0,609,binary data,drep1k4h4cd5jknvcfeq5uuzqthpl7sdjxrwf9gn25tdk49qxyfhusgm,False,0
182,2672453586499,508,527.0,155,binary data,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,False,79
183,338593062,508,527.0,2050,binary data,drep1kl4yss3v5qsw9j9smpakfcwhm7yrw0zkv3es80qx73wl5n09y59,False,0
184,1179603199,508,528.0,89,binary data,drep1hythq7gzjpyv0vsre2x28564t2p64vtpdrknkwd9ac9dx0u0vnt,False,4
185,318389813616,508,527.0,1069,binary data,drep1h92sg90589pmhaexdfxz04w00lsaldpllvjf5wwa2d5j5pcehve,False,0
186,478063879946,508,528.0,197,binary data,drep1hvlx2cdu7ql8238dwhrjrncm43q3sl5hlmcmp24p0rcnzcwzcyd,False,8
187,20992245207,508,528.0,132,binary data,drep1hsclvjegdzhltnu9yek5asjedkjtzg763m8cl46krfplvgks70z,False,0
188,97803435,508,527.0,902,binary data,drep1hjq8wx6effgg9angf9ddpwcljt5nupswukvql8qsgq9fscyscyk,False,0
189,313182354293,508,527.0,1505,binary data,drep1hcdyvu9y55qeun5uqj33gyqcev4vjx483vrn784e50sevkqrtsj,False,0
190,7396732065,508,528.0,214,binary data,drep1hmtfse5v2xn5pe45va78qsktnc8807ak8k5vydmzy7n45p54pgt,False,0
191,540904351586,508,527.0,2084,binary data,drep1ha70n565q7nx7f6y78dvsa4m90h9u2ahup9kccrrsng922zdag3,False,4
192,774840238809,508,527.0,2057,binary data,drep1cx4vnd4zwg8r6j3c5lwvvtvv7y9rlyhlsxtrlq8e50he7a3g67q,False,2
193,9064763660,508,527.0,1009,binary data,drep1cfegf9ffrpzktxqak3ld5gguuz8d6gdkgzem2xf8jwkxqqsfcf4,False,0
194,21043497166,508,527.0,1478,binary data,drep1c0uv6z9uywhq2pslkj3sp8j0hzd2uyyzjt49y989rmucysxtd2j,False,0
195,19867473989,508,527.0,1725,binary data,drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,False,1
196,295155994272,508,527.0,1080,binary data,drep1c6zslx9d0lzcndzcr4xafga30ekccv5pa93l6syy6mz8um0gj96,False,1
197,3097042111420,508,527.0,1584,binary data,drep1cm6mupj0lszffgnfe3t0we7r7c9kwc6lxd4ad7dstf6gggtdqc3,False,2
