hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,mithril,ros.0,ros.1,ros.2,ros.3,ros.6,ros.12,ros.18,ros.36,ros.73,cluster_name,cluster_order
fd832d27b5fbe0489409613f50e2139b54a21e613c8a7609dcff556e,pool1lkpj6fa4l0sy39qfvyl4pcsnnd22y8np8j98vzwula2kuxgers4,JOY,JOY,True,True,False,7641723156098,7372348499322,50188734837,696,354,8991,7,0.01,340000000,50000000000,6392578991059,242428064427,1596184471,False,0.0440,0.0274,0.0171,0.0195,0.0195,0.0183,0.0199,0.0230,0.0249,cardano.ipclub29.com,1.0
cf635c0a032bc98d453b65512aaf2b0f9b0f62b2b865a6011523aaf7,pool1ea34czsr90yc63fmv4gj4tetp7ds7c4jhpj6vqg4yw40wvygdl3,SMILES ON AFRICA,SMILE,True,False,False,7468268455194,7304906010377,25042952353,344,263,1555,8,0.03,170000000,25000000000,664033023821,84363109302,1607373996,False,0.0304,0.0260,0.0244,0.0250,0.0290,0.0294,0.0276,0.0279,0.0277,poapool.com,1.0
587c9118ee8fc6e771c9494de9fc03a8e937f5c103ec374fb764a27f,pool1tp7fzx8w3lrwwuwff9x7nlqr4r5n0awpq0krwnahvj387n7y22h,mtma,mtma,True,False,False,7296671921235,7282478641902,8644163,22,279,1874,3,0.999,345000000,1000000,4255873258,921913784494,1628251104,False,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,,
7ca6f74bf72922e511003d78affd9f999228ff1543e1007f610c5d12,pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,Earn Stakepool,EARN,True,True,False,7245584981457,7248072821604,101276121143,94,354,2482,3,0.05,340000000,100000000000,1325986378624,189786926595,1596079611,False,0.0355,0.0207,0.0121,0.0104,0.0134,0.0180,0.0196,0.0203,0.0220,,
dda4bc64e339336e3f7bc158177df0c71dc760ff11cb8b0651b3ece4,pool1mkjtce8r8yeku0mmc9vpwl0scuwuwc8lz89ckpj3k0kwgvlunv5,Cornucopias,COPI,True,False,False,7175876786925,7226241040241,210567947754,4247,204,3744,9,0.05,340000000,200000000000,1788268704066,162912710955,1659498240,False,0.0295,0.0117,0.0137,0.0209,0.0229,0.0240,0.0216,0.0203,0.0187,cornucopias.io,0.0
ec736597797c68044b8fccd4e895929c0a842f2e9e0a9e221b0a3026,pool1a3ekt9me035qgju0en2w39vjns9ggtewnc9fugsmpgczvgtl6u9,SMAN8,SA8,True,False,False,7224340155146,7226117646026,236702796453,48,310,4405,9,0.01,340000000,168000000000,2313715012517,128124959155,1615647719,True,0.0363,0.0145,0.0218,0.0280,0.0244,0.0247,0.0230,0.0226,0.0257,sman8.github.io,1.0
932d34c5ae5cc1f9d2f890ef4dfa05f1479672546fcc37c63e9bb7bd,pool1jvknf3dwtnqln5hcjrh5m7s979revuj5dlxr0337nwmm6p7250q,SQQQ Stake Pool,SQQQ,True,False,False,7212859649808,7209291020346,320654003,7,31,199,4,1,170000000,100000000,0,68903867489,1735567187,False,0,0,0,0,0,0,0,0,0,,
06b4d54e25e33f3adfa22098749005f7b610721e3c24d547450267ec,pool1q66d2n39uvln4hazyzv8fyq977mpqus78sjd2369qfn7cptdeyh,KTN2,KTN2,True,False,False,7177457791666,7177234303850,70634540211,53,354,6736,10,0.05,340000000,50000000000,4792810964223,373435022493,1596064451,True,0.0428,0.0140,0.0175,0.0164,0.0141,0.0191,0.0191,0.0211,0.0229,katanapool.com,2.0
7095ee942c6aa5d594f08fa9f377b2f00c4abe96dd58209e2e9d18b7,pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh,BRADA POOL,BRADA,True,False,False,7294306650788,7162412416272,3277273,1995,353,5134,7,0,340000000,0,3069988205749,123247803647,1596062231,False,0.0396,0.0145,0.0145,0.0181,0.0205,0.0228,0.0244,0.0230,0.0248,,
e9a6817cf8fa67a0ce5d4d5d41bc155a30eb2d8f163869ce2abfca5a,pool1axngzl8clfn6pnjaf4w5r0q4tgcwktv0zcuxnn32hl995pthddr,New One Stake Pool,NOSP,True,False,False,7081336706922,7136383790343,8019495834,11,242,1283,6,0.9999,7000000000,100000000,46828048,606764828835,1643083177,False,0.0002,0,0,0,0,0,0,0.0000,0.0000,atrmn.github.io,1.0
5e376d756f6eec459900a4abcf2510316c45b13cf204a57c703dc251,pool1tcmk6at0dmkytxgq5j4u7fgsx9kytvfu7gz22lrs8hp9ztu7arw,RATS Pool,RATS,True,False,False,7136178888020,7135424529004,1000033497414,382,307,1894,6,0.1,340000000,1000000000000,749799262019,194979474047,1614279920,True,0.0291,0.0200,0.0150,0.0168,0.0197,0.0212,0.0206,0.0209,0.0215,,
49b7d9e2116ef05fbe1ee784391e31aecb360bbba2e979f389ae3d89,pool1fxmancs3dmc9l0s7u7zrj8334m9nvzam5t5hnuuf4c7cjr6867m,Congee Pool,CONGE,True,False,False,7206693153156,7129048112207,158083626140,1229,327,5177,4,0.01,340000000,100000000000,3207334480159,141957410090,1606421865,True,0.0432,0.0296,0.0259,0.0310,0.0305,0.0281,0.0256,0.0247,0.0239,,
44e6e224ac7610bdc7907b9ede709588cb6f12f3c5d8433cc0617dad,pool1gnnwyf9vwcgtm3us0w0duuy43r9k7yhnchvyx0xqv9766ysw2a9,ADA 2 ALL,A2A,True,False,False,4942461350886,7127470209515,6151125057,16,55,257,2,0,170000000,0,75738961620,17680000000,1725556833,False,0.0247,0.0298,0.0356,0.0349,0.0306,0.0306,0.0264,0.0249,0.0247,,
